,Path,Title,Modules,Certificate,Level,Hours,Enrolled,Salary,Review,Ratings
20,Skill path,Build a Machine Learning Model,Includes 10 Courses,With Certificate,Beginner Friendly,23,"2,911 learners enrolled",,,
21,Free course,Using OpenAI APIs: Accessing OpenAI APIs from Python,,,Beginner Friendly,2,,,,
22,Free course,Using OpenAI APIs: Using Image & Audio APIs,,,Intermediate,1,,,,
23,Free course,"Using OpenAI APIs: Fine-tuning Models, the Assistants API, & Embeddings",,,Intermediate,1,,,,
24,Free course,Using OpenAI APIs: Exploring APIs with the OpenAI Playground,,,Beginner Friendly,2,,,,
25,Free course,Generative AI Models: Getting Started with Autoencoders,,,Intermediate,2,,,,
26,Course,Defending Against AI-Generated Attacks,,With Certificate,Beginner Friendly,1,"1,490 learners enrolled",,4.4,56 ratings
27,Free course,Generative AI Models: Generating Data Using Generative Adversarial Networks,,,Intermediate,2,,,,
28,Free course,Generative AI Models: Generating Data Using Variational Autoencoders,,,Intermediate,1,,,,
29,Free course,Intro to AI Transformers,,,Intermediate,2,"2,390 learners enrolled",,,
30,Free course,Generative AI on GCP: Empowering Machine Language Workflows with Vertex AI,,,Intermediate,2,,,,
31,Free course,Intro to Midjourney,,,Beginner Friendly,1,"2,085 learners enrolled",,4,105 ratings
32,Free course,Learning Django Using Generative AI Help,,,Beginner Friendly,2,,,,
33,Free course,Generative AI on GCP: An Introduction,,,Beginner Friendly,2,,,,
34,Free course,Creating Django Views & Models,,,Intermediate,2,,,,
35,Free course,Prompt Engineering to Build a Django App,,,Intermediate,2,,,,
36,Free course,Prompt Engineering: Covering Tracks with GenAI,,,Intermediate,1,,,,
37,Free course,Optimizing Code with Generative AI Case Study,,,Beginner Friendly,1,"2,985 learners enrolled",,4.3,105 ratings
38,Free course,Prompt Engineering: Mobile Platform Security in the GenAI Era,,,Intermediate,1,,,,
39,Free course,Generative AI on AWS: Getting Started,,,Intermediate,1,,,,
40,Free course,Intro to PyTorch and Neural Networks,,,Intermediate,3,"3,635 learners enrolled",,4.6,68 ratings
41,Free course,Streamline Resume Creation with Generative AI Case Study,,,Beginner Friendly,1,"1,639 learners enrolled",,4.3,68 ratings
42,Free course,Creating Quick STEAM Activities with Generative AI Case Study,,,Beginner Friendly,1,,,,
43,Free course,Pair Programming with Generative AI Case Study,,,Beginner Friendly,1,,,,
44,Free course,Unit Testing with Generative AI Case Study,,,Beginner Friendly,1,,,,
45,Free course,Differentiate for Language and Reading Level With Generative AI Case Study,,,Beginner Friendly,1,,,,
46,Free course,Debug Python Code with Generative AI Case Study,,,Beginner Friendly,1,,,,
47,Free course,Write a Sales Outreach Email with Generative AI Case Study,,,Beginner Friendly,1,,,,
48,Free course,Prompt Engineering: Cloud Computing & IoT Hacking in the Era of GenAI,,,Intermediate,2,,,,
49,Free course,Prompt Engineering: Web Application & Database Hacking in the Age of GenAI,,,Intermediate,2,,,,
50,Free course,Prompt Engineering: GenAI's Impact on Network & Perimeter Ethical Hacking,,,Intermediate,1,,,,
51,Free course,Generative AI with Azure OpenAI,,,Beginner Friendly,1,,,,
52,Free course,Intro to Hugging Face,,,Beginner Friendly,1,"2,979 learners enrolled",,4.2,122 ratings
53,Free course,Introduction to Generative AI on Azure,,,Beginner Friendly,1,,,,
54,Free course,Discovering Copilot for Windows 11,,,Beginner Friendly,1,,,,
55,Free course,Learn How to Use AI for Data Analysis,,,Intermediate,1,"2,809 learners enrolled",,,
56,Free course,Intro to GitHub Copilot,,,Intermediate,1,"2,342 learners enrolled",,4.5,94 ratings
57,Free course,Prompt Engineering: Generative AI for Malware & Social Engineering,,,Intermediate,1,,,,
58,Free course,Prompt Engineering: Generative AI for System Hacking,,,Intermediate,1,,,,
59,Free course,Embracing Risk and Learning from Setbacks with AI Projects,,,Beginner Friendly,1,,,,
60,Free course,Prompt Engineering: Generative AI for Scanning & Enumeration,,,Intermediate,1,,,,
61,Free course,Prompt Engineering: Generative AI for Reconnaissance,,,Intermediate,1,,,,
62,Free course,Prompt Engineering: Ethical Hacking & Generative AI Fusion,,,Intermediate,1,,,,
63,Free course,Leading through the AI Disruption with Empathy,,,Beginner Friendly,1,,,,
64,Free course,Encouraging Innovation and Experimentation with AI,,,Beginner Friendly,1,,,,
65,Free course,Intro to OpenAI API,,,Beginner Friendly,1,"7,398 learners enrolled",,4.2,219 ratings
66,Free course,Leading in the Age of Generative AI,,,Beginner Friendly,1,,,,
67,Free course,Intro to Large Language Models (LLMs),,,Beginner Friendly,1,"4,757 learners enrolled",,4.2,169 ratings
68,Free course,Intro to AI Strategy,,,Beginner Friendly,1,"2,631 learners enrolled",,4.3,151 ratings
69,Free course,Creating Marketing Assets with Generative AI Case Study,,,Beginner Friendly,1,"1,492 learners enrolled",,4.4,53 ratings
70,Free course,Learn How to Use AI for Coding,,,Beginner Friendly,1,"4,840 learners enrolled",,4.4,95 ratings
71,Free course,Navigating AI Ethical Challenges and Risks,,,Beginner Friendly,1,,,,
72,Free course,"Recognizing Hallucinations, Inaccuracies, and Bias in AI",,,Beginner Friendly,1,,,,
73,Free course,Intro to Generative AI,,,Beginner Friendly,1,"46,029 learners enrolled",,4.2,"2,731 ratings"
74,Free course,Learn How to Use AI for Marketing,,,Beginner Friendly,1,"4,776 learners enrolled",,4.4,200 ratings
75,Course,Language Models in Python: Basic Chatbots,,,Intermediate,6,,,,
76,Course,Language Models in Python: Generative Chatbots,,,Intermediate,1,"1,074 learners enrolled",,,
77,Free course,Intro to Language Models in Python,,,Intermediate,4,"3,546 learners enrolled",,,
78,Course,Deep Learning with TensorFlow: Image Classification,,,Intermediate,2,"1,091 learners enrolled",,,
79,Course,Deep Learning with TensorFlow: Classification,,,Intermediate,2,,,,
80,Free course,Intro to Deep Learning with TensorFlow,,,Intermediate,4,"3,784 learners enrolled",,4.6,70 ratings
81,Free course,The Role of ChatGPT in Shaping Our Future,,,Beginner Friendly,1,,,,
82,Free course,Learn How to Use ChatGPT,,,Beginner Friendly,1,"85,537 learners enrolled",,4.3,"3,109 ratings"
83,Free course,Learn Recommender Systems,,,Intermediate,1,"1,974 learners enrolled",,4.2,97 ratings
84,Free course,Machine Learning: Perceptrons,,,Beginner Friendly,1,"3,137 learners enrolled",,4.4,88 ratings
85,Free course,Analyze Taylor Swift Lyrics with Python Case Study,,,Beginner Friendly,1,"5,458 learners enrolled",,4.1,75 ratings
86,Skill path,Data and Programming Foundations for AI,Includes 9 Courses,With Certificate,Beginner Friendly,38,"23,909 learners enrolled",,,
87,Career path,Machine Learning/AI Engineer,Includes 7 Courses,With Certificate,Intermediate,50,"24,224 learners enrolled","$127,000",,
88,Career path,Data Scientist: Natural Language Processing Specialist,Includes 31 Courses,With Certificate,Beginner Friendly,100,"12,617 learners enrolled","$125,000",,
89,Free course,Machine Learning: Artificial Intelligence Decision Making with Minimax,,,Advanced,2,"3,889 learners enrolled",,4.5,50 ratings
90,Course,Language Models in Python: Generative Text,,With Certificate,Intermediate,1,"3,607 learners enrolled",,,
91,Skill path,Build Deep Learning Models with TensorFlow,Includes 7 Courses,With Certificate,Intermediate,10,"15,286 learners enrolled",,,
92,Free course,Explainable AI,,,Intermediate,1,,,,
93,Skill path,Build Chatbots with Python,Includes 6 Courses,With Certificate,Beginner Friendly,28,"50,162 learners enrolled",,,
94,Course,Getting Started with Natural Language Processing,,With Certificate,Beginner Friendly,1,"24,414 learners enrolled",,4.3,205 ratings
95,Course,Learn Python 3,,With Certificate,Beginner Friendly,23,"2,517,022 learners enrolled",,4.6,"9,378 ratings"
96,Free course,Learn to Program Alexa,,,Beginner Friendly,2,"23,046 learners enrolled",,,
97,Free course,Learn Conversational Design with Alexa,,,Intermediate,3,"2,653 learners enrolled",,,
98,Skill path,Software Engineering for Data Scientists,Includes 7 Courses,With Certificate,Intermediate,22,"4,616 learners enrolled",,,
99,Course,Learn the Command Line,,With Certificate,Beginner Friendly,4,"190,274 learners enrolled",,4.6,"6,104 ratings"
100,Course,Learn Git & GitHub,,With Certificate,Beginner Friendly,4,"126,342 learners enrolled",,4.5,"1,653 ratings"
101,Course,Learn Bash Scripting,,With Certificate,Intermediate,1,"40,982 learners enrolled",,4.2,"1,067 ratings"
102,Free course,Intro to the Command Line,,,Beginner Friendly,1,"6,808 learners enrolled",,4.7,373 ratings
103,Free course,Learn the Command Line: Viewing and Changing the File System,,,Beginner Friendly,1,"3,117 learners enrolled",,4.6,109 ratings
104,Free course,Learn the Command Line: Redirecting Input and Output,,,Beginner Friendly,1,"2,533 learners enrolled",,4.6,91 ratings
105,Free course,Learn the Command Line: Configuring the Environment,,,Beginner Friendly,1,"2,353 learners enrolled",,4.6,112 ratings
106,Free course,Learn Raspberry Pi,,,Beginner Friendly,2,"10,018 learners enrolled",,4.3,105 ratings
107,Free course,Getting Started Off-Platform for Data Science,,,Beginner Friendly,1,"19,488 learners enrolled",,4.3,244 ratings
108,Free course,Learn Raspberry Pi: Command Line,,,Beginner Friendly,1,"1,175 learners enrolled",,,
109,Free course,Learn Raspberry Pi: Electronics,,,Beginner Friendly,1,"1,146 learners enrolled",,4.5,60 ratings
110,Free course,Learn Raspberry Pi: Introduction,,,Beginner Friendly,1,"1,305 learners enrolled",,,
111,Skill path,Learn C,Includes 6 Courses,With Certificate,Beginner Friendly,11,"16,176 learners enrolled",,,
112,Free course,Learn C: Introduction,,,Beginner Friendly,1,"38,660 learners enrolled",,4.4,"2,479 ratings"
113,Free course,Learn C: Pointers and Memory,,,Beginner Friendly,1,"15,626 learners enrolled",,4.5,371 ratings
114,Free course,Learn C: Variables and Operators,,,Beginner Friendly,2,"9,536 learners enrolled",,4.5,286 ratings
115,Free course,Learn C: Conditionals and Loops,,,Beginner Friendly,2,"6,436 learners enrolled",,4.7,141 ratings
116,Free course,Learn C: Arrays and Strings,,,Beginner Friendly,2,"6,836 learners enrolled",,4.7,144 ratings
117,Free course,Learn C: Functions and Structures,,,Beginner Friendly,3,"6,701 learners enrolled",,4.6,93 ratings
118,Skill path,Build Web Apps with ASP.NET,Includes 7 Courses,With Certificate,Intermediate,34,"20,130 learners enrolled",,,
119,Free course,Learn C#,,,Beginner Friendly,21,"567,650 learners enrolled",,4.4,"2,752 ratings"
120,Free course,Learn C#: Introduction,,,Beginner Friendly,5,"14,504 learners enrolled",,4.3,518 ratings
121,Free course,"Learn C#: Classes, Objects, Interfaces, and Inheritance",,,Beginner Friendly,5,"5,706 learners enrolled",,4.6,147 ratings
122,Free course,Learn C#: Lists and LINQ,,,Beginner Friendly,2,"3,094 learners enrolled",,4.6,128 ratings
123,Course,Learn ASP.NET,,With Certificate,Intermediate,13,"17,722 learners enrolled",,4,52 ratings
124,Free course,Learn C#: Methods,,,Beginner Friendly,3,"2,513 learners enrolled",,4.6,83 ratings
125,Free course,Learn C#: Arrays and Loops,,,Beginner Friendly,3,"3,158 learners enrolled",,4.3,70 ratings
126,Free course,Learn C#: References,,,Beginner Friendly,2,"1,738 learners enrolled",,,
127,Free course,Learn C++,,,Beginner Friendly,11,"895,584 learners enrolled",,4.4,"8,047 ratings"
128,Free course,Learn C++: Introduction,,,Beginner Friendly,4,"16,683 learners enrolled",,4.6,711 ratings
129,Free course,C++ for Programmers,,,Intermediate,3,"48,197 learners enrolled",,4.4,658 ratings
130,Free course,Learn C++: Classes and Objects,,,Beginner Friendly,1,"6,480 learners enrolled",,4.4,210 ratings
131,Free course,Learn C++: References and Pointers,,,Beginner Friendly,1,"4,905 learners enrolled",,4.6,191 ratings
132,Free course,Learn C++: Loops,,,Beginner Friendly,1,"4,439 learners enrolled",,4.5,158 ratings
133,Free course,Learn C++: Functions,,,Beginner Friendly,3,"4,278 learners enrolled",,4.4,90 ratings
134,Free course,Learn C++: Vectors,,,Beginner Friendly,1,"4,384 learners enrolled",,4.6,141 ratings
135,Course,Learn Python 3,,With Certificate,Beginner Friendly,23,"2,517,022 learners enrolled",,4.6,"9,378 ratings"
136,Free course,Learn Java,,,Beginner Friendly,16,"1,125,540 learners enrolled",,4.4,"8,613 ratings"
137,Course,Intro to Cloud Computing,,With Certificate,Beginner Friendly,1,"20,589 learners enrolled",,4.4,"1,131 ratings"
138,Course,Learn ASP.NET,,With Certificate,Intermediate,13,"17,722 learners enrolled",,4,52 ratings
139,Free course,Google Associate Cloud Engineer: Google Virtual Private Cloud,,,Intermediate,2,,,,
140,Free course,CompTIA Cloud Essentials+: Cloud Licensing Models & Risk Mitigation,,,Intermediate,1,,,,
141,Free course,CompTIA Cloud Essentials+: Contracting with Cloud Service Providers,,,Intermediate,1,,,,
142,Free course,Microsoft Azure Fundamentals: Migrating to Microsoft Azure,,,Intermediate,1,,,,
143,Free course,CompTIA Cloud Essentials+: Cloud Native Apps & Cloud Data Analytics,,,Intermediate,1,,,,
144,Free course,Google Associate Cloud Engineer: Implementing Google Kubernetes Engine,,,Intermediate,1,,,,
145,Free course,AWS Cloud Practitioner 2023: AWS Storage Services,,,Intermediate,1,,,,
146,Free course,Google Associate Cloud Engineer: Google Cloud Resource Manager,,,Intermediate,1,,,,
147,Free course,Microsoft Azure Fundamentals: Monitoring Azure Services,,,Intermediate,1,,,,
148,Free course,CompTIA Cloud Essentials+: Cloud Migration Strategies,,,Intermediate,1,,,,
149,Free course,Google Associate Cloud Engineer: Implementing Google App Engine,,,Intermediate,1,,,,
150,Free course,Microsoft Azure Fundamentals: Managing Azure Authentication,,,Intermediate,1,,,,
151,Free course,AWS Cloud Practitioner 2023: AWS Database Services,,,Beginner Friendly,1,,,,
152,Free course,CompTIA Cloud Essentials+: Essential Cloud Networking,,,Beginner Friendly,2,,,,
153,Free course,Microsoft Azure Fundamentals: Azure Service Resilience,,,Intermediate,1,,,,
154,Free course,Google Associate Cloud Engineer: Google Identity & Access Management (IAM),,,Intermediate,2,,,,
155,Free course,CompTIA Cloud Essentials+: Cloud Adoption to Enhance Business Value,,,Intermediate,1,,,,
156,Free course,Google Associate Cloud Engineer: Managing Google Compute Engine,,,Intermediate,1,,,,
157,Free course,AWS Cloud Practitioner 2023: AWS Network Services,,,Intermediate,1,,,,
158,Free course,Microsoft Azure Fundamentals: Azure Management Tools,,,Intermediate,1,,,,
159,Free course,AWS Cloud Practitioner 2023: Components & Resources for Security,,,Beginner Friendly,1,,,,
160,Free course,CompTIA Cloud Essentials+: DevOps in the Cloud,,,Intermediate,1,,,,
161,Free course,Microsoft Azure Fundamentals: Azure Virtual Machines,,,Intermediate,2,,,,
162,Free course,AWS Cloud Practitioner 2023: Migration to the AWS Cloud & Cloud Economics,,,Beginner Friendly,1,,,,
163,Free course,AWS Cloud Practitioner 2023: Shared Responsibility & Compliance,,,Beginner Friendly,1,,,,
164,Free course,AWS Cloud Practitioner 2023: Benefits & Design Principles of the AWS Cloud,,,Beginner Friendly,1,,,,
165,Free course,Generative AI on AWS: Getting Started,,,Intermediate,1,,,,
166,Free course,Generative AI on AWS: Building GenAI Models with Amazon Bedrock,,,Intermediate,1,,,,
167,Free course,Generative AI on AWS: Deploying & Managing GenAI Services on AWS,,,Intermediate,1,,,,
168,Free course,AWS Cloud Practitioner 2023: Technical & Support Resources at AWS,,,Beginner Friendly,1,,,,
169,Free course,Generative AI with Azure OpenAI,,,Beginner Friendly,1,,,,
170,Free course,Generative AI on GCP: Harnessing Generative AI with Vertex AI,,,Intermediate,1,,,,
171,Free course,Generative AI on GCP: Building Generative AI-powered Apps in GCP,,,Intermediate,1,,,,
172,Free course,AWS Cloud Practitioner 2023: Deploying & Operating in the AWS Cloud,,,Beginner Friendly,1,,,,
173,Free course,CompTIA Cloud Essentials+: Gap Analysis & Cloud Assessment,,,Intermediate,1,,,,
174,Free course,AWS Cloud Practitioner 2023: Overview of Cloud Security,,,Intermediate,1,,,,
175,Free course,CompTIA Cloud Essentials+: Cloud Governance & Securing Data,,,Intermediate,2,,,,
176,Free course,CompTIA Cloud Essentials+: Operations within Cloud,,,Intermediate,1,,,,
177,Free course,CompTIA Cloud Essentials+: Cloud Design Considerations,,,Intermediate,1,,,,
178,Free course,CompTIA Cloud Essentials+: Cloud Storage Technologies,,,Beginner Friendly,1,,,,
179,Free course,CompTIA Cloud Essentials+: Cloud Connectivity & Load Balancing,,,Beginner Friendly,1,,,,
180,Free course,CompTIA Cloud Essentials+: Essential Cloud Principles,,,Beginner Friendly,1,,,,
181,Free course,CompTIA Cloud Essentials+: Security Considerations,,,Intermediate,1,,,,
182,Free course,Google Associate Cloud Engineer: Configuring Google Cloud,,,Intermediate,1,,,,
183,Free course,"AWS Cloud Practitioner 2023: ML, AI, & Data Analytics",,,Intermediate,1,,,,
184,Free course,Generative AI on AWS: Generating Code with Amazon CodeWhisperer,,,Intermediate,1,,,,
185,Free course,Microsoft Azure Fundamentals: Azure Network Infrastructure,,,Intermediate,2,,,,
186,Free course,AWS Cloud Practitioner 2023: AWS Compute Services,,,Beginner Friendly,1,,,,
187,Free course,"AWS Cloud Practitioner 2023: Pricing, Billing, Budgeting, & Cost Management",,,Beginner Friendly,1,,,,
188,Free course,Google Associate Cloud Engineer: Implementing Google Compute Engine,,,Intermediate,1,,,,
189,Free course,Microsoft Azure Fundamentals: AZ-900 Exam Preparation,,,Intermediate,1,,,,
190,Free course,Microsoft Azure Fundamentals: Azure App Service,,,Intermediate,1,,,,
191,Free course,Microsoft Azure Fundamentals: Managing the Microsoft Azure Hierarchy,,,Intermediate,1,,,,
192,Free course,Microsoft Azure Fundamentals: Azure RBAC & Azure Policy,,,Intermediate,1,,,,
193,Free course,Microsoft Azure Fundamentals: Managing Azure Storage,,,Intermediate,2,,,,
194,Free course,AWS Cloud Practitioner 2023: Automation & Managed Services,,,Beginner Friendly,1,,,,
195,Free course,Microsoft Azure Fundamentals: Azure VNet Peering & VPNs,,,Intermediate,1,,,,
196,Free course,AWS Cloud Practitioner 2023: AWS Developer Services & Tools,,,Intermediate,1,,,,
197,Free course,Google Associate Cloud Engineer: Google Cloud Platform Ecosystem,,,Intermediate,1,,,,
198,Free course,CompTIA Cloud Essentials+: Utilizing Cloud Services,,,Intermediate,1,,,,
199,Free course,Microsoft Azure Fundamentals: Managing Azure AD,,,Intermediate,1,,,,
200,Free course,Microsoft Azure Fundamentals: Cloud Computing,,,Intermediate,1,,,,
201,Free course,Microsoft Azure Fundamentals: Managing Azure Costs,,,Intermediate,1,,,,
202,Free course,Microsoft Azure Fundamentals: Azure Container Solutions,,,Intermediate,1,,,,
203,Free course,Microsoft Azure Fundamentals: Azure Network Security,,,Intermediate,1,,,,
204,Free course,Microsoft Azure Fundamentals: Azure Software Development Services,,,Intermediate,1,,,,
205,Free course,AWS Cloud Practitioner 2023: Access Management,,,Beginner Friendly,1,,,,
206,Free course,Microsoft Azure Fundamentals: Azure Files,,,Intermediate,1,,,,
207,Free course,Google Associate Cloud Engineer: Google Cloud Load Balancing,,,Intermediate,1,,,,
208,Free course,Google Associate Cloud Engineer: Managing Google App Engine,,,Intermediate,1,,,,
209,Free course,Google Associate Cloud Engineer: Google Cloud Operations Suite,,,Intermediate,2,,,,
210,Free course,Google Associate Cloud Engineer: Implementing Google Cloud Storage,,,Intermediate,1,,,,
211,Free course,Google Associate Cloud Engineer: Managing Google Kubernetes Engine,,,Intermediate,1,,,,
212,Free course,Google Associate Cloud Engineer: Managing Google Cloud Storage,,,Intermediate,1,,,,
213,Free course,Generative AI on AWS: Creating Intelligent Chatbots,,,Intermediate,1,,,,
214,Free course,Generative AI on AWS: Building GenAI Models with Amazon SageMaker,,,Intermediate,2,,,,
215,Free course,Generative AI on AWS: Generating Speech with Amazon Polly,,,Intermediate,1,,,,
216,Free course,Introduction to Generative AI on Azure,,,Beginner Friendly,1,,,,
217,Free course,Deep Dive Into Generative AI with Azure OpenAI,,,Intermediate,2,,,,
218,Free course,Generative AI & the Azure Bot AI Service,,,Intermediate,1,,,,
219,Free course,Generative AI on GCP: An Introduction,,,Beginner Friendly,2,,,,
220,Free course,Generative AI on GCP: Empowering Machine Language Workflows with Vertex AI,,,Intermediate,2,,,,
221,Free course,Generative AI on GCP: Deep Dive Into Generative AI Studio,,,Intermediate,2,,,,
222,Skill path,Code Foundations,Includes 5 Courses,With Certificate,Beginner Friendly,4,"199,871 learners enrolled",,,
223,Course,Learn Python 3,,With Certificate,Beginner Friendly,23,"2,517,022 learners enrolled",,4.6,"9,378 ratings"
224,Free course,Learn JavaScript,,,Beginner Friendly,15,"2,132,265 learners enrolled",,4.5,"27,114 ratings"
225,Free course,Learn Java,,,Beginner Friendly,16,"1,125,540 learners enrolled",,4.4,"8,613 ratings"
226,Free course,Learn Python 2,,,Beginner Friendly,17,"1,008,578 learners enrolled",,4.3,"6,565 ratings"
227,Free course,Learn C#,,,Beginner Friendly,21,"567,650 learners enrolled",,4.4,"2,752 ratings"
228,Free course,Learn How to Code,,,Beginner Friendly,2,"468,089 learners enrolled",,4.5,"6,757 ratings"
229,Free course,Learn Lua,,,Beginner Friendly,4,"62,211 learners enrolled",,4.5,"2,431 ratings"
230,Free course,Learn What to Learn,,,Beginner Friendly,2,"87,358 learners enrolled",,4.6,"1,710 ratings"
231,Free course,Learn Swift,,,Beginner Friendly,12,"160,815 learners enrolled",,4.7,827 ratings
232,Free course,Learn Intermediate JavaScript,,,Intermediate,10,"91,932 learners enrolled",,4.4,"1,964 ratings"
233,Free course,Learn to Code with Blockly,,,Beginner Friendly,2,"95,075 learners enrolled",,4.4,"1,455 ratings"
234,Course,Learn the Command Line,,With Certificate,Beginner Friendly,4,"190,274 learners enrolled",,4.6,"6,104 ratings"
235,Free course,Learn Ruby,,,Beginner Friendly,9,"167,029 learners enrolled",,4.5,"2,448 ratings"
236,Free course,Choosing a Career in Tech,,,Beginner Friendly,1,"36,096 learners enrolled",,4.6,"3,052 ratings"
237,Free course,Welcome To Codecademy,,,Beginner Friendly,1,"1,129,002 learners enrolled",,4.4,848 ratings
238,Free course,Learn JavaScript: Fundamentals,,,Beginner Friendly,4,"14,522 learners enrolled",,4.7,806 ratings
239,Free course,Choosing a Programming Language,,,Beginner Friendly,1,"22,609 learners enrolled",,4.6,"1,735 ratings"
240,Course,Intro to Cloud Computing,,With Certificate,Beginner Friendly,1,"20,589 learners enrolled",,4.4,"1,131 ratings"
241,Free course,Learn JavaScript: Asynchronous Programming ,,,Beginner Friendly,3,"23,264 learners enrolled",,4.5,347 ratings
242,Free course,Learn JavaScript: Functions and Scope,,,Beginner Friendly,3,"4,098 learners enrolled",,4.7,163 ratings
243,Free course,Learn JavaScript: Classes and Modules,,,Beginner Friendly,4,"3,026 learners enrolled",,4.7,82 ratings
244,Free course,Learn JavaScript: Objects,,,Beginner Friendly,3,"3,822 learners enrolled",,4.7,97 ratings
245,Free course,Learn JavaScript: Arrays and Loops,,,Beginner Friendly,3,"3,926 learners enrolled",,4.6,119 ratings
246,Free course,Learn JavaScript: Best Practices,,,Beginner Friendly,1,"3,507 learners enrolled",,4.2,155 ratings
247,Free course,Learn JavaScript: Requests,,,Beginner Friendly,2,"2,361 learners enrolled",,4.7,58 ratings
248,Free course,Learn JavaScript: Iterators,,,Beginner Friendly,2,"2,564 learners enrolled",,4.7,82 ratings
249,Course,Learn Hardware Programming with CircuitPython,,With Certificate,Beginner Friendly,2,"6,840 learners enrolled",,,
250,Career path,Computer Science,Includes 6 Courses,With Professional Certification,Beginner Friendly,75,"171,521 learners enrolled","$115,000",,
251,Skill path,Pass the Technical Interview with JavaScript,Includes 8 Courses,With Certificate,Intermediate,13,"23,176 learners enrolled",,,
252,Skill path,Pass the Technical Interview with Java,Includes 8 Courses,With Certificate,Intermediate,19,"15,506 learners enrolled",,,
253,Skill path,Pass the Technical Interview with Python,Includes 8 Courses,With Certificate,Intermediate,25,"20,801 learners enrolled",,,
254,Skill path,Learn C,Includes 6 Courses,With Certificate,Beginner Friendly,11,"16,176 learners enrolled",,,
255,Course,Learn Python 3,,With Certificate,Beginner Friendly,23,"2,517,022 learners enrolled",,4.6,"9,378 ratings"
256,Free course,Learn Java,,,Beginner Friendly,16,"1,125,540 learners enrolled",,4.4,"8,613 ratings"
257,Free course,Learn C++,,,Beginner Friendly,11,"895,584 learners enrolled",,4.4,"8,047 ratings"
258,Free course,Learn Python 2,,,Beginner Friendly,17,"1,008,578 learners enrolled",,4.3,"6,565 ratings"
259,Free course,Learn C#,,,Beginner Friendly,21,"567,650 learners enrolled",,4.4,"2,752 ratings"
260,Free course,Introduction to Game Development,,,Beginner Friendly,1,"92,932 learners enrolled",,4.3,"3,746 ratings"
261,Free course,Learn C: Introduction,,,Beginner Friendly,1,"38,660 learners enrolled",,4.4,"2,479 ratings"
262,Free course,Learn to Code with Blockly,,,Beginner Friendly,2,"95,075 learners enrolled",,4.4,"1,455 ratings"
263,Course,Learn Intermediate Python 3,,With Certificate,Intermediate,20,"61,043 learners enrolled",,4.2,"1,038 ratings"
264,Course,Learn the Command Line,,With Certificate,Beginner Friendly,4,"190,274 learners enrolled",,4.6,"6,104 ratings"
265,Free course,Python for Programmers,,,Intermediate,3,"79,284 learners enrolled",,4.2,"1,628 ratings"
266,Free course,Choosing a Career in Tech,,,Beginner Friendly,1,"36,096 learners enrolled",,4.6,"3,052 ratings"
267,Course,Learn Git & GitHub,,With Certificate,Beginner Friendly,4,"126,342 learners enrolled",,4.5,"1,653 ratings"
268,Free course,Learn PowerShell,,,Beginner Friendly,6,"18,898 learners enrolled",,4.3,361 ratings
269,Free course,Learn Intermediate Java,,,Intermediate,10,"34,440 learners enrolled",,4.3,447 ratings
270,Free course,Intro to Generative AI,,,Beginner Friendly,1,"46,029 learners enrolled",,4.2,"2,731 ratings"
271,Free course,Learn C++: Introduction,,,Beginner Friendly,4,"16,683 learners enrolled",,4.6,711 ratings
272,Free course,Learn C: Pointers and Memory,,,Beginner Friendly,1,"15,626 learners enrolled",,4.5,371 ratings
273,Free course,Learn C: Variables and Operators,,,Beginner Friendly,2,"9,536 learners enrolled",,4.5,286 ratings
